,LINK_ID,Source,Target,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,C-ITS,LENGTH,UPDATEDATE,REMARK,HIST_TYPE,HISTREMARK
261862,4050191800,4050062900,4050062100,3,107,000,-,동문로,0,0,0,50,0,0,0,0,137.210661325068,20230519,,,
261891,4050277000,4050115000,4050114900,1,107,000,-,-,0,0,0,40,0,0,0,0,66.124326684953,20230519,도로명없음,,
261902,4060187800,4060111700,4060067500,1,107,000,-,사계신항로,0,0,0,40,0,0,0,0,28.210141910744,20230519,,,
261903,4060278100,4060099900,4060101000,1,107,000,-,최남단해안로,0,0,0,50,0,0,0,0,632.711635037737,20230519,,,
262142,4050192600,4050062500,4050062400,1,107,000,-,용담로,0,0,0,50,0,0,0,0,287.604764459204,20230519,,,
262209,4060353900,4050126300,4060093400,1,106,000,1136,중산간서로,0,0,0,50,0,0,0,0,711.106490183948,20230519,,,
262274,4060289700,4060101500,4060101600,1,107,000,-,송악관광로,0,0,0,40,0,0,0,0,507.868047534722,20230519,,,
262275,4060314200,4060092100,4060091000,1,107,000,-,일주서로3000번길,0,0,0,50,0,0,0,0,1174.65724397796,20230519,,,
262369,4050387500,4060121500,4060122100,1,107,000,-,화전길,0,0,0,50,0,0,0,0,2654.35355861431,20230519,,,
262459,4050380600,4050128400,4050125700,1,107,000,-,녹차분재로,0,0,0,50,0,0,0,0,1823.97341490694,20230519,,,
262460,4050385500,4050122500,4050123100,1,107,000,-,두조로,0,0,0,50,0,0,0,0,413.44208559269,20230519,,,
262466,4050432000,4050157900,4050155500,1,107,000,-,애원로,0,0,0,50,0,0,0,0,2177.18052690675,20230519,,,
262470,4050416300,4050125000,4050125800,1,107,000,-,금능남로,0,0,0,50,0,0,0,0,232.248253249727,20230519,,,
262474,4050261700,4050014701,4050105500,1,107,000,-,진남로,0,0,0,50,0,0,0,0,1250.13864229286,20230519,,,
262475,4050446800,4050172200,4050171000,1,107,000,-,광령평화2길,0,0,0,10,0,0,0,0,3702.25825669975,20230519,,,
262477,4050468400,4050140300,4050138400,1,107,000,-,귀덕4길,0,0,0,50,0,0,0,0,1416.83887173021,20230519,,,
262478,4050502600,4050156200,4050159000,1,107,000,-,장전로,0,0,0,60,0,0,0,0,1314.14381416569,20230519,,,
262480,4050514600,4050169200,4050168800,1,107,000,-,하광로,0,0,0,50,0,0,0,0,391.613565340902,20230519,,,
262481,4050518800,4050146200,4050146000,1,107,000,-,애원로,0,0,0,50,0,0,0,0,261.646750958547,20230519,,,
262483,4050525700,4050198300,4050198100,1,107,000,-,송당6길,0,0,0,50,0,0,0,0,416.179067254209,20230519,,,
262484,4050527000,4050146800,4050146400,1,107,000,-,애월로11길,0,0,0,50,0,0,0,0,99.123967760537,20230519,,,
262498,4060204000,4060068200,4060067300,1,107,000,-,사계신항로17번길,0,0,0,40,0,0,0,0,71.652354488892,20230519,,,
262503,4050268100,4050108000,4050110100,1,107,000,-,-,0,0,0,50,0,0,0,0,37.851088808911,20230519,도로명없음,,
262568,4050456000,4050135100,4050136500,1,107,000,-,한수풀로,0,0,0,50,0,0,0,0,532.501173716427,20230519,,,
262572,4060215700,4060071500,4060071600,1,107,000,-,천제연로178번길,0,0,0,50,0,0,0,0,39.266935919323,20230519,,,
262573,4060233000,4060075300,4060006606,1,107,000,-,중산간동로,0,0,0,50,0,0,0,0,237.875472986365,20230519,,,
262576,4060269400,4060085100,4060084900,1,107,000,-,신천동로,0,0,0,50,0,0,0,0,794.724422069457,20230519,,,
262578,4060284800,4060096700,4060096600,1,107,000,-,하모항구로6번길,0,0,0,50,0,0,0,0,126.873024923754,20230519,,,
262642,4060119000,4060006301,4060004200,1,107,000,-,중문로,0,0,0,50,0,0,0,0,455.861308901678,20230519,,,
262643,4060126102,4060013601,4060018300,2,107,000,-,월드컵로,0,0,0,50,0,0,0,0,364.881755865672,20230519,,,
262644,4060136300,4060036000,4060031500,1,107,000,-,서호로,0,0,0,30,0,0,0,0,137.96986044426,20230519,,,
262662,4050295400,4050083400,4050073802,1,107,000,-,수목원서길,0,0,0,30,0,0,0,0,160.746102719449,20230519,,,
262725,4060298800,4060094000,4060094100,1,107,000,-,암반수마농로,0,0,0,50,0,0,0,0,314.692689312931,20230519,,,
262769,4050294200,4050165200,4050083000,1,107,000,-,답동2길,0,0,0,50,0,0,0,0,471.280936196281,20230519,,,
262822,4050460900,4050153500,4050153900,1,107,000,-,고하상로,0,0,0,50,0,0,0,0,1805.2014116297,20230519,,,
262823,4050467400,4050170500,4050169300,1,107,000,-,고성남길,0,0,0,10,0,0,0,0,1266.13283556556,20230519,,,
